# wavelength normalized_flux flux
3798.9253653490 0.1328516011 5439631654912.0
3798.9313637908 0.1700533941 5519235874816.0
3798.9373622327 0.1976643253 5559245864960.0
3798.9433606745 0.2144357088 5583271886848.0
3798.9493591163 0.2228100248 5593064013824.0
3798.9553575581 0.2263044591 5589594275840.0
3798.9613559999 0.2276300349 5579958386688.0
3798.9673544418 0.2282633060 5578295869440.0
3798.9733528836 0.2287976965 5595141242880.0
3798.9793513254 0.2293651260 5626120372224.0
3798.9853497672 0.2299010498 5655533453312.0
3798.9913482090 0.2302874775 5670618267648.0
3798.9973466509 0.2304228386 5669971296256.0
3799.0033450927 0.2302391188 5660832956416.0
3799.0093435345 0.2296984723 5653865693184.0
3799.0153419763 0.2288133082 5651028246528.0
3799.0213404181 0.2276933561 5619358629888.0
3799.0273388600 0.2265567833 5520775708672.0
3799.0333373018 0.2256446538 5451224186880.0
3799.0393357436 0.2250783070 5494788325376.0
3799.0453341854 0.2247801177 5533811081216.0
3799.0513326272 0.2245216975 5527659085824.0
3799.0573310690 0.2240388336 5518190968832.0
3799.0633295109 0.2231233197 5508287168512.0
3799.0693279527 0.2216826473 5485264109568.0
3799.0753263945 0.2198046500 5443558047744.0
3799.0813248363 0.2177978373 5349786517504.0
3799.0873232781 0.2161074687 5188457857024.0
3799.0933217199 0.2150813729 5137383817216.0
3799.0993201617 0.2147382639 5254302662656.0
3799.1053186036 0.2147470798 5331409174528.0
3799.1113170454 0.2146450628 5322947166208.0
3799.1173154872 0.2141019487 5288410218496.0
3799.1233139290 0.2130313553 5247353749504.0
3799.1293123708 0.2115264791 5200759750656.0
3799.1353108126 0.2097254238 5148682747904.0
3799.1413092544 0.2076902627 5095579189248.0
3799.1473076963 0.2053122682 5048184602624.0
3799.1533061381 0.2022506549 5007319498752.0
3799.1593045799 0.1979784383 4964757274624.0
3799.1653030217 0.1920442020 4903156056064.0
3799.1713014635 0.1845305849 4757741633536.0
3799.1772999053 0.1764074757 4354317221888.0
3799.1832983471 0.1693365340 3771931820032.0
3799.1892967889 0.1648278531 3544339972096.0
3799.1952952307 0.1632988496 3830720233472.0
3799.2012936725 0.1638028363 4173074530304.0
3799.2072921144 0.1646067672 4211468402688.0
3799.2132905562 0.1640447761 4152897306624.0
3799.2192889980 0.1610199459 4134380503040.0
3799.2252874398 0.1550928388 4058604634112.0
3799.2312858816 0.1464821155 3785478373376.0
3799.2372843234 0.1361417567 3409504632832.0
3799.2432827652 0.1257517229 2972863168512.0
3799.2492812070 0.1173976540 2539288002560.0
3799.2552796488 0.1129295573 2319557066752.0
3799.2612780906 0.1132494180 2365065789440.0
3799.2672765324 0.1178943150 2656102252544.0
3799.2732749742 0.1251734685 3108280729600.0
3799.2792734160 0.1328225559 3502907850752.0
3799.2852718578 0.1388324581 3680899694592.0
3799.2912702997 0.1420193803 3698073796608.0
3799.2972687415 0.1421015130 3648703692800.0
3799.3032671833 0.1393527238 3546972684288.0
3799.3092656251 0.1340914360 3359062622208.0
3799.3152640669 0.1263217445 3167407046656.0
3799.3212625087 0.1158359793 3116211634176.0
3799.3272609505 0.1028674935 2994517311488.0
3799.3332593923 0.0888623246 2169015238656.0
3799.3392578341 0.0765759580 1327814803456.0
3799.3452562759 0.0690923080 1028334157824.0
3799.3512547177 0.0682821392 1045475622912.0
3799.3572531595 0.0737513396 1389280362496.0
3799.3632516013 0.0829992376 2193975017472.0
3799.3692500431 0.0926730140 2741679423488.0
3799.3752484849 0.1000982681 2781718249472.0
3799.3812469267 0.1041589212 2723125657600.0
3799.3872453685 0.1051702509 2652051341312.0
3799.3932438103 0.1041354498 2577387225088.0
3799.3992422521 0.1020382137 2504230961152.0
3799.4052406939 0.0995188854 2437106106368.0
3799.4112391357 0.0968781850 2375824179200.0
3799.4172375775 0.0942064945 2315349393408.0
3799.4232360193 0.0915038566 2251257020416.0
3799.4292344611 0.0887519694 2182982795264.0
3799.4352329029 0.0859443125 2112026968064.0
3799.4412313447 0.0830896182 2039956242432.0
3799.4472297865 0.0802028427 1968009248768.0
3799.4532282283 0.0772944867 1896863236096.0
3799.4592266701 0.0743642089 1826303377408.0
3799.4652251119 0.0713992216 1755318190080.0
3799.4712235537 0.0683728778 1682811125760.0
3799.4772219955 0.0652347273 1608228667392.0
3799.4832204373 0.0618832828 1531399766016.0
3799.4892188791 0.0581254293 1452105400320.0
3799.4952173208 0.0536584568 1369786679296.0
3799.5012157626 0.0481414455 1282051014656.0
3799.5072142044 0.0413931802 1168649748480.0
3799.5132126462 0.0336320452 927971409920.0
3799.5192110880 0.0255571860 535833739264.0
3799.5252095298 0.0181341055 260106125312.0
3799.5312079716 0.0121970063 139214700544.0
3799.5372064134 0.0081616805 89927557120.0
3799.5432048552 0.0060440984 70891421696.0
3799.5492032970 0.0057124052 68234272768.0
3799.5552017388 0.0071350673 80169844736.0
3799.5612001806 0.0104286397 115012567040.0
3799.5671986224 0.0156696683 200665563136.0
3799.5731970642 0.0226134511 407214981120.0
3799.5791955059 0.0305642026 784363749376.0
3799.5851939477 0.0385560932 1102891188224.0
3799.5911923895 0.0457466772 1245452959744.0
3799.5971908313 0.0517301543 1337961086976.0
3799.6031892731 0.0565632665 1422001569792.0
3799.6091877149 0.0605588290 1502474010624.0
3799.6151861567 0.0640523037 1580309807104.0
3799.6211845985 0.0672807698 1656167858176.0
3799.6271830403 0.0703741376 1730563670016.0
